origElemNum,globCoord-x,globCoord-y,fluidMechVelocity-real-x,fluidMechVelocity-real-y,fluidMechVelocity-imag-x,fluidMechVelocity-imag-y,locCoord-xi,locCoord-eta
6,1.0842e-19,0,5.69307e-18,4.10645e-18,8.14768e-17,2.88619e-17,1,1
11,1e-05,-1.03947e-20,-1.2773e-16,-1.01095e-06,8.84416e-17,3.78799e-07,-0.977273,-0.977273
11,2e-05,5.08071e-20,-2.56535e-16,-2.02552e-06,9.5312e-17,7.47256e-07,-0.954545,-0.954545
11,3e-05,-2.24004e-20,-3.80778e-16,-3.04361e-06,1.02102e-16,1.1053e-06,-0.931818,-0.931818
11,4e-05,2.61026e-20,-5.00475e-16,-4.0651e-06,1.08789e-16,1.45287e-06,-0.909091,-0.909091
11,5e-05,1.6706e-20,-6.15677e-16,-5.0899e-06,1.15379e-16,1.78988e-06,-0.886364,-0.886364
11,6e-05,2.52495e-20,-7.26424e-16,-6.11788e-06,1.21869e-16,2.11629e-06,-0.863636,-0.863636
11,7e-05,4.42085e-20,-8.32754e-16,-7.14892e-06,1.28248e-16,2.43201e-06,-0.840909,-0.840909
11,8e-05,-3.42456e-20,-9.34717e-16,-8.18289e-06,1.34517e-16,2.737e-06,-0.818182,-0.818182
11,9e-05,2.89873e-20,-1.03234e-15,-9.21966e-06,1.40669e-16,3.03118e-06,-0.795455,-0.795455
11,0.0001,-3.38731e-20,-1.12568e-15,-1.02591e-05,1.46707e-16,3.31449e-06,-0.772727,-0.772727
11,0.00011,-3.52577e-20,-1.21478e-15,-1.1301e-05,1.5262e-16,3.58687e-06,-0.75,-0.75
11,0.00012,-2.34274e-20,-1.29968e-15,-1.23453e-05,1.58405e-16,3.84826e-06,-0.727273,-0.727273
11,0.00013,-1.14221e-20,-1.38043e-15,-1.33917e-05,1.64063e-16,4.09861e-06,-0.704545,-0.704545
11,0.00014,-4.48236e-20,-1.45708e-15,-1.44402e-05,1.69589e-16,4.33785e-06,-0.681818,-0.681818
11,0.00015,-5.26778e-20,-1.52969e-15,-1.54906e-05,1.74979e-16,4.56593e-06,-0.659091,-0.659091
11,0.00016,3.4277e-21,-1.59829e-15,-1.65426e-05,1.80231e-16,4.78279e-06,-0.636364,-0.636364
11,0.00017,-4.68195e-20,-1.66295e-15,-1.75961e-05,1.85343e-16,4.98838e-06,-0.613636,-0.613636
11,0.00018,-2.68029e-20,-1.7237e-15,-1.86509e-05,1.9031e-16,5.18265e-06,-0.590909,-0.590909
11,0.00019,-4.99458e-20,-1.78062e-15,-1.97068e-05,1.95131e-16,5.36554e-06,-0.568182,-0.568182
11,0.0002,-3.18203e-20,-1.83374e-15,-2.07636e-05,1.99804e-16,5.53699e-06,-0.545455,-0.545455
11,0.00021,-4.25133e-20,-1.88314e-15,-2.18211e-05,2.04324e-16,5.69697e-06,-0.522727,-0.522727
11,0.00022,-2.20229e-20,-1.92885e-15,-2.28791e-05,2.08691e-16,5.84542e-06,-0.5,-0.5
11,0.00023,-4.45332e-20,-1.97095e-15,-2.39373e-05,2.12903e-16,5.98229e-06,-0.477273,-0.477273
11,0.00024,-4.05872e-20,-2.00949e-15,-2.49955e-05,2.16958e-16,6.10753e-06,-0.454545,-0.454545
11,0.00025,-2.07038e-20,-2.04453e-15,-2.60536e-05,2.20854e-16,6.2211e-06,-0.431818,-0.431818
11,0.00026,-3.47196e-20,-2.07613e-15,-2.71111e-05,2.24587e-16,6.32295e-06,-0.409091,-0.409091
11,0.00027,-2.94881e-20,-2.10435e-15,-2.8168e-05,2.2816e-16,6.41304e-06,-0.386364,-0.386364
11,0.00028,-3.18384e-20,-2.12925e-15,-2.92239e-05,2.31568e-16,6.49133e-06,-0.363636,-0.363636
11,0.00029,-2.66024e-20,-2.15091e-15,-3.02787e-05,2.34808e-16,6.55777e-06,-0.340909,-0.340909
11,0.0003,-1.08252e-20,-2.16937e-15,-3.13319e-05,2.37884e-16,6.61232e-06,-0.318182,-0.318182
11,0.00031,-3.44225e-20,-2.18472e-15,-3.23834e-05,2.40791e-16,6.65495e-06,-0.295455,-0.295455
11,0.00032,-3.07739e-20,-2.19702e-15,-3.34329e-05,2.43527e-16,6.68561e-06,-0.272727,-0.272727
11,0.00033,-4.71162e-20,-2.20633e-15,-3.448e-05,2.46095e-16,6.70426e-06,-0.25,-0.25
11,0.00034,-2.09264e-20,-2.21273e-15,-3.55246e-05,2.48491e-16,6.71087e-06,-0.227273,-0.227273
11,0.00035,-3.40317e-20,-2.21628e-15,-3.65663e-05,2.50716e-16,6.7054e-06,-0.204545,-0.204545
11,0.00036,-2.80064e-20,-2.21705e-15,-3.76048e-05,2.52769e-16,6.68782e-06,-0.181818,-0.181818
11,0.00037,-2.10124e-20,-2.21512e-15,-3.86398e-05,2.54648e-16,6.65809e-06,-0.159091,-0.159091
11,0.00038,-1.29313e-20,-2.21056e-15,-3.96709e-05,2.56356e-16,6.61618e-06,-0.136364,-0.136364
11,0.00039,-1.24698e-20,-2.20345e-15,-4.0698e-05,2.5789e-16,6.56207e-06,-0.113636,-0.113636
11,0.0004,-1.85248e-20,-2.19386e-15,-4.17205e-05,2.5925e-16,6.49571e-06,-0.0909091,-0.0909091
11,0.00041,-1.5101e-20,-2.18186e-15,-4.27383e-05,2.60437e-16,6.41707e-06,-0.0681818,-0.0681818
11,0.00042,-1.6204e-20,-2.16754e-15,-4.37509e-05,2.61451e-16,6.32614e-06,-0.0454545,-0.0454545
11,0.00043,-1.58651e-20,-2.15097e-15,-4.47581e-05,2.62293e-16,6.22288e-06,-0.0227273,-0.0227273
11,0.00044,-8.49066e-16,-2.23836e-15,-4.57594e-05,2.59913e-16,6.10727e-06,0,0
11,0.00045,-1.3324e-20,-2.1114e-15,-4.67545e-05,2.63459e-16,5.97927e-06,0.0227273,0.0227273
11,0.00046,-1.19688e-20,-2.08857e-15,-4.77431e-05,2.63784e-16,5.83888e-06,0.0454545,0.0454545
11,0.00047,-9.17178e-21,-2.06381e-15,-4.87248e-05,2.6394e-16,5.68605e-06,0.0681818,0.0681818
11,0.00048,-1.68307e-20,-2.03722e-15,-4.96992e-05,2.63925e-16,5.52077e-06,0.0909091,0.0909091
11,0.00049,-3.99951e-21,-2.00886e-15,-5.06659e-05,2.63741e-16,5.34303e-06,0.113636,0.113636
11,0.0005,-1.12372e-20,-1.97884e-15,-5.16245e-05,2.6339e-16,5.15279e-06,0.136364,0.136364
11,0.00051,-7.45984e-21,-1.94723e-15,-5.25746e-05,2.62872e-16,4.95004e-06,0.159091,0.159091
11,0.00052,-2.80064e-20,-1.91414e-15,-5.35159e-05,2.62188e-16,4.73476e-06,0.181818,0.181818
11,0.00053,-1.70911e-20,-1.87963e-15,-5.4448e-05,2.61341e-16,4.50694e-06,0.204545,0.204545
11,0.00054,-2.43145e-20,-1.8438e-15,-5.53703e-05,2.60333e-16,4.26655e-06,0.227273,0.227273
11,0.00055,-1.32349e-20,-1.80676e-15,-5.62826e-05,2.59163e-16,4.01358e-06,0.25,0.25
11,0.00056,-2.06095e-20,-1.76857e-15,-5.71843e-05,2.57835e-16,3.74803e-06,0.272727,0.272727
11,0.00057,-2.76462e-20,-1.72935e-15,-5.8075e-05,2.56349e-16,3.46987e-06,0.295455,0.295455
11,0.00058,-1.42133e-20,-1.68917e-15,-5.89544e-05,2.5471e-16,3.17909e-06,0.318182,0.318182
11,0.00059,-1.30499e-20,-1.64814e-15,-5.98219e-05,2.52918e-16,2.87569e-06,0.340909,0.340909
11,0.0006,-3.18384e-20,-1.60637e-15,-6.06772e-05,2.50973e-16,2.55965e-06,0.363636,0.363636
11,0.00061,-2.61e-20,-1.56393e-15,-6.15197e-05,2.48883e-16,2.23096e-06,0.386364,0.386364
11,0.00062,-3.13315e-20,-1.52094e-15,-6.2349e-05,2.46646e-16,1.88963e-06,0.409091,0.409091
11,0.00063,-3.08682e-20,-1.47747e-15,-6.31646e-05,2.44268e-16,1.53563e-06,0.431818,0.431818
11,0.00064,-5.41398e-20,-1.43365e-15,-6.39661e-05,2.41749e-16,1.16896e-06,0.454545,0.454545
11,0.00065,-1.404e-20,-1.38956e-15,-6.47529e-05,2.39094e-16,7.89624e-07,0.477273,0.477273
11,0.00066,2.5411e-20,-1.34532e-15,-6.55246e-05,2.36304e-16,3.97614e-07,0.5,0.5
11,0.00067,-1.85569e-21,-1.30103e-15,-6.62807e-05,2.3338e-16,-7.07328e-09,0.522727,0.522727
11,0.00068,-5.21491e-20,-1.25679e-15,-6.70207e-05,2.30329e-16,-4.24438e-07,0.545455,0.545455
11,0.00069,-4.31696e-20,-1.21269e-15,-6.77441e-05,2.27157e-16,-8.54482e-07,0.568182,0.568182
11,0.0007,-6.47415e-21,-1.16886e-15,-6.84504e-05,2.2386e-16,-1.2972e-06,0.590909,0.590909
11,0.00071,-2.98789e-20,-1.12541e-15,-6.9139e-05,2.20448e-16,-1.7526e-06,0.613636,0.613636
11,0.00072,3.4277e-21,-1.08242e-15,-6.98095e-05,2.16921e-16,-2.22067e-06,0.636364,0.636364
11,0.00073,-3.74312e-20,-1.04003e-15,-7.04612e-05,2.13284e-16,-2.70142e-06,0.659091,0.659091
11,0.00074,-9.24823e-21,-9.98328e-16,-7.10938e-05,2.09542e-16,-3.19482e-06,0.681818,0.681818
11,0.00075,3.82448e-21,-9.57442e-16,-7.17065e-05,2.05698e-16,-3.70089e-06,0.704545,0.704545
11,0.00076,1.98357e-21,-9.17477e-16,-7.2299e-05,2.01754e-16,-4.21961e-06,0.727273,0.727273
11,0.00077,2.23405e-20,-8.78548e-16,-7.28705e-05,1.97719e-16,-4.75098e-06,0.75,0.75
11,0.00078,8.21542e-24,-8.40774e-16,-7.34206e-05,1.93591e-16,-5.29498e-06,0.772727,0.772727
11,0.00079,1.96699e-20,-8.04262e-16,-7.39487e-05,1.89381e-16,-5.8516e-06,0.795455,0.795455
11,0.0008,-3.84807e-20,-7.69141e-16,-7.44543e-05,1.85089e-16,-6.42085e-06,0.818182,0.818182
11,0.00081,-3.22531e-21,-7.35506e-16,-7.49366e-05,1.80725e-16,-7.00269e-06,0.840909,0.840909
11,0.00082,5.65897e-20,-7.03493e-16,-7.53953e-05,1.7629e-16,-7.59713e-06,0.863636,0.863636
11,0.00083,-3.62335e-20,-6.73239e-16,-7.58296e-05,1.71785e-16,-8.20414e-06,0.886364,0.886364
11,0.00084,5.80781e-20,-6.44819e-16,-7.6239e-05,1.67227e-16,-8.82371e-06,0.909091,0.909091
11,0.00085,-1.11772e-20,-6.18406e-16,-7.66228e-05,1.62608e-16,-9.45582e-06,0.931818,0.931818
11,0.00086,5.02247e-20,-5.94083e-16,-7.69805e-05,1.57941e-16,-1.01005e-05,0.954545,0.954545
11,0.00087,-2.33782e-20,-5.72005e-16,-7.73114e-05,1.5323e-16,-1.07576e-05,0.977273,0.977273
11,0.00088,-1.08962e-15,-7.2285e-16,-7.76149e-05,1.01643e-16,-1.14273e-05,1,1
16,0.00089,1.00888e-19,-5.24716e-16,-7.8029e-05,1.5971e-16,-1.21666e-05,-0.977273,-0.977273
16,0.0009,4.07449e-19,-5.19769e-16,-7.84104e-05,1.55501e-16,-1.29371e-05,-0.954545,-0.954545
16,0.00091,8.78036e-19,-5.15369e-16,-7.87597e-05,1.51368e-16,-1.37396e-05,-0.931818,-0.931818
16,0.00092,1.58159e-18,-5.11483e-16,-7.90774e-05,1.47333e-16,-1.45752e-05,-0.909091,-0.909091
16,0.00093,2.46728e-18,-5.08086e-16,-7.93639e-05,1.43387e-16,-1.54448e-05,-0.886364,-0.886364
16,0.00094,3.47963e-18,-5.05143e-16,-7.96198e-05,1.39528e-16,-1.63492e-05,-0.863636,-0.863636
16,0.00095,4.63314e-18,-5.02647e-16,-7.98452e-05,1.35764e-16,-1.72894e-05,-0.840909,-0.840909
16,0.00096,5.92415e-18,-5.00549e-16,-8.00406e-05,1.32091e-16,-1.82659e-05,-0.818182,-0.818182
16,0.00097,7.3986e-18,-4.98818e-16,-8.0206e-05,1.28515e-16,-1.92794e-05,-0.795455,-0.795455
16,0.00098,9.03685e-18,-4.97441e-16,-8.03418e-05,1.25034e-16,-2.03306e-05,-0.772727,-0.772727
16,0.00099,1.08553e-17,-4.96373e-16,-8.0448e-05,1.21655e-16,-2.14201e-05,-0.75,-0.75
16,0.001,1.26964e-17,-4.95621e-16,-8.05246e-05,1.18359e-16,-2.25482e-05,-0.727273,-0.727273
16,0.00101,1.47232e-17,-4.9513e-16,-8.05716e-05,1.15173e-16,-2.37154e-05,-0.704545,-0.704545
16,0.00102,1.68095e-17,-4.94904e-16,-8.05889e-05,1.12075e-16,-2.49221e-05,-0.681818,-0.681818
16,0.00103,1.9055e-17,-4.94889e-16,-8.05765e-05,1.09082e-16,-2.61685e-05,-0.659091,-0.659091
16,0.00104,2.13922e-17,-4.95087e-16,-8.0534e-05,1.06189e-16,-2.74549e-05,-0.636364,-0.636364
16,0.00105,2.38166e-17,-4.95456e-16,-8.04613e-05,1.0339e-16,-2.87815e-05,-0.613636,-0.613636
16,0.00106,2.63192e-17,-4.95987e-16,-8.0358e-05,1.00686e-16,-3.01484e-05,-0.590909,-0.590909
16,0.00107,2.89271e-17,-4.96661e-16,-8.02237e-05,9.80845e-17,-3.15555e-05,-0.568182,-0.568182
16,0.00108,3.15542e-17,-4.97456e-16,-8.00581e-05,9.55805e-17,-3.30029e-05,-0.545455,-0.545455
16,0.00109,3.42592e-17,-4.98346e-16,-7.98605e-05,9.31741e-17,-3.44906e-05,-0.522727,-0.522727
16,0.0011,3.70552e-17,-4.99315e-16,-7.96305e-05,9.08672e-17,-3.60183e-05,-0.5,-0.5
16,0.00111,3.98966e-17,-5.00344e-16,-7.93673e-05,8.86573e-17,-3.75858e-05,-0.477273,-0.477273
16,0.00112,4.27672e-17,-5.01417e-16,-7.90705e-05,8.65394e-17,-3.9193e-05,-0.454545,-0.454545
16,0.00113,4.56867e-17,-5.02521e-16,-7.87391e-05,8.45162e-17,-4.08393e-05,-0.431818,-0.431818
16,0.00114,4.8623e-17,-5.03628e-16,-7.83724e-05,8.25925e-17,-4.25246e-05,-0.409091,-0.409091
16,0.00115,5.15729e-17,-5.04741e-16,-7.79695e-05,8.07574e-17,-4.42482e-05,-0.386364,-0.386364
16,0.00116,5.45357e-17,-5.0582e-16,-7.75295e-05,7.90184e-17,-4.60097e-05,-0.363636,-0.363636
16,0.00117,5.75332e-17,-5.06869e-16,-7.70515e-05,7.73692e-17,-4.78085e-05,-0.340909,-0.340909
16,0.00118,6.05416e-17,-5.07868e-16,-7.65343e-05,7.58126e-17,-4.96439e-05,-0.318182,-0.318182
16,0.00119,6.35397e-17,-5.08804e-16,-7.59769e-05,7.43403e-17,-5.15153e-05,-0.295455,-0.295455
16,0.0012,6.65015e-17,-5.0966e-16,-7.53781e-05,7.29574e-17,-5.34218e-05,-0.272727,-0.272727
16,0.00121,6.94776e-17,-5.10435e-16,-7.47367e-05,7.16606e-17,-5.53626e-05,-0.25,-0.25
16,0.00122,7.24093e-17,-5.111e-16,-7.40514e-05,7.04497e-17,-5.73369e-05,-0.227273,-0.227273
16,0.00123,7.52939e-17,-5.11666e-16,-7.33208e-05,6.93179e-17,-5.93437e-05,-0.204545,-0.204545
16,0.00124,7.81548e-17,-5.12106e-16,-7.25436e-05,6.82643e-17,-6.13819e-05,-0.181818,-0.181818
16,0.00125,8.09804e-17,-5.1241e-16,-7.17183e-05,6.7291e-17,-6.34505e-05,-0.159091,-0.159091
16,0.00126,8.37408e-17,-5.12578e-16,-7.08433e-05,6.63964e-17,-6.55483e-05,-0.136364,-0.136364
16,0.00127,8.64437e-17,-5.126e-16,-6.99171e-05,6.55733e-17,-6.7674e-05,-0.113636,-0.113636
16,0.00128,8.90774e-17,-5.12465e-16,-6.89381e-05,6.48214e-17,-6.98266e-05,-0.0909091,-0.0909091
16,0.00129,9.16336e-17,-5.12164e-16,-6.79044e-05,6.41415e-17,-7.20045e-05,-0.0681818,-0.0681818
16,0.0013,9.41099e-17,-5.11696e-16,-6.68144e-05,6.35234e-17,-7.42064e-05,-0.0454545,-0.0454545
16,0.00131,9.65025e-17,-5.11053e-16,-6.56662e-05,6.29755e-17,-7.64309e-05,-0.0227273,-0.0227273
16,0.00132,-7.1846e-16,-5.69287e-16,-6.4458e-05,-2.13655e-17,-7.86764e-05,0,0
16,0.00133,1.0099e-16,-5.09219e-16,-6.31878e-05,6.20518e-17,-8.09413e-05,0.0227273,0.0227273
16,0.00134,1.03072e-16,-5.0802e-16,-6.18535e-05,6.16739e-17,-8.3224e-05,0.0454545,0.0454545
16,0.00135,1.05044e-16,-5.06625e-16,-6.04532e-05,6.13535e-17,-8.55227e-05,0.0681818,0.0681818
16,0.00136,1.06887e-16,-5.05032e-16,-5.89846e-05,6.10784e-17,-8.78358e-05,0.0909091,0.0909091
16,0.00137,1.08602e-16,-5.03244e-16,-5.74456e-05,6.08472e-17,-9.01613e-05,0.113636,0.113636
16,0.00138,1.1018e-16,-5.0126e-16,-5.5834e-05,6.06633e-17,-9.24974e-05,0.136364,0.136364
16,0.00139,1.11609e-16,-4.99069e-16,-5.41474e-05,6.05144e-17,-9.4842e-05,0.159091,0.159091
16,0.0014,1.12893e-16,-4.96676e-16,-5.23834e-05,6.04043e-17,-9.71933e-05,0.181818,0.181818
16,0.00141,1.14027e-16,-4.9409e-16,-5.05397e-05,6.03241e-17,-9.9549e-05,0.204545,0.204545
16,0.00142,1.14988e-16,-4.91298e-16,-4.86138e-05,6.02717e-17,-0.000101907,0.227273,0.227273
16,0.00143,1.15783e-16,-4.88307e-16,-4.6603e-05,6.02435e-17,-0.000104265,0.25,0.25
16,0.00144,1.16385e-16,-4.85116e-16,-4.45048e-05,6.02388e-17,-0.000106621,0.272727,0.272727
16,0.00145,1.16808e-16,-4.81738e-16,-4.23166e-05,6.02452e-17,-0.000108973,0.295455,0.295455
16,0.00146,1.17035e-16,-4.78169e-16,-4.00355e-05,6.02631e-17,-0.000111317,0.318182,0.318182
16,0.00147,1.17086e-16,-4.74415e-16,-3.76588e-05,6.02922e-17,-0.000113653,0.340909,0.340909
16,0.00148,1.16901e-16,-4.70476e-16,-3.51836e-05,6.03147e-17,-0.000115976,0.363636,0.363636
16,0.00149,1.16517e-16,-4.66364e-16,-3.2607e-05,6.03463e-17,-0.000118285,0.386364,0.386364
16,0.0015,1.15925e-16,-4.62076e-16,-2.99261e-05,6.03752e-17,-0.000120577,0.409091,0.409091
16,0.00151,1.15066e-16,-4.57631e-16,-2.71378e-05,6.03802e-17,-0.000122849,0.431818,0.431818
16,0.00152,1.1402e-16,-4.53025e-16,-2.42391e-05,6.03768e-17,-0.000125098,0.454545,0.454545
16,0.00153,1.12714e-16,-4.48265e-16,-2.12266e-05,6.03528e-17,-0.000127322,0.477273,0.477273
16,0.00154,1.11143e-16,-4.43378e-16,-1.80974e-05,6.03021e-17,-0.000129517,0.5,0.5
16,0.00155,1.0932e-16,-4.38347e-16,-1.4848e-05,6.0219e-17,-0.000131682,0.522727,0.522727
16,0.00156,1.07248e-16,-4.33201e-16,-1.14752e-05,6.00985e-17,-0.000133812,0.545455,0.545455
16,0.00157,1.04943e-16,-4.27941e-16,-7.97548e-06,5.99412e-17,-0.000135904,0.568182,0.568182
16,0.00158,1.02298e-16,-4.22573e-16,-4.34548e-06,5.97303e-17,-0.000137956,0.590909,0.590909
16,0.00159,9.9416e-17,-4.17124e-16,-5.81659e-07,5.94678e-17,-0.000139964,0.613636,0.613636
16,0.0016,9.61496e-17,-4.11594e-16,3.31957e-06,5.91433e-17,-0.000141925,0.636364,0.636364
16,0.00161,9.27045e-17,-4.06007e-16,7.36183e-06,5.87684e-17,-0.000143835,0.659091,0.659091
16,0.00162,8.89276e-17,-4.00348e-16,1.15488e-05,5.83089e-17,-0.000145692,0.681818,0.681818
16,0.00163,8.48422e-17,-3.94671e-16,1.58843e-05,5.77841e-17,-0.000147491,0.704545,0.704545
16,0.00164,8.03625e-17,-3.88964e-16,2.03721e-05,5.71642e-17,-0.00014923,0.727273,0.727273
16,0.00165,7.56838e-17,-3.8326e-16,2.50161e-05,5.64722e-17,-0.000150904,0.75,0.75
16,0.00166,7.05179e-17,-3.77542e-16,2.98202e-05,5.56657e-17,-0.00015251,0.772727,0.772727
16,0.00167,6.51374e-17,-3.71868e-16,3.47884e-05,5.4773e-17,-0.000154044,0.795455,0.795455
16,0.00168,5.93584e-17,-3.66231e-16,3.99248e-05,5.3765e-17,-0.000155503,0.818182,0.818182
16,0.00169,5.32664e-17,-3.60647e-16,4.52335e-05,5.26479e-17,-0.000156882,0.840909,0.840909
16,0.0017,4.68647e-17,-3.55151e-16,5.07187e-05,5.14122e-17,-0.000158178,0.863636,0.863636
16,0.00171,3.99358e-17,-3.49733e-16,5.63846e-05,5.0034e-17,-0.000159387,0.886364,0.886364
16,0.00172,3.27742e-17,-3.44451e-16,6.22355e-05,4.85329e-17,-0.000160504,0.909091,0.909091
16,0.00173,2.51018e-17,-3.39289e-16,6.82758e-05,4.68782e-17,-0.000161526,0.931818,0.931818
16,0.00174,1.71885e-17,-3.34305e-16,7.45099e-05,4.50877e-17,-0.000162448,0.954545,0.954545
16,0.00175,8.74462e-18,-3.29479e-16,8.09422e-05,4.3127e-17,-0.000163267,0.977273,0.977273
16,0.00176,0,-3.24864e-16,8.75774e-05,4.10125e-17,-0.000163978,1,1
32,0.00177,0,-3.24578e-16,9.54342e-05,4.32354e-17,-0.000159464,1,0.990541
32,0.00178,4.98693e-20,-3.24287e-16,0.000103168,4.54113e-17,-0.000154955,1,0.981082
32,0.00179,5.03791e-20,-3.23999e-16,0.000110779,4.75289e-17,-0.000150451,1,0.971623
32,0.0018,1.01778e-19,-3.23721e-16,0.000118267,4.95985e-17,-0.00014595,1,0.962164
32,0.00181,5.13986e-20,-3.23416e-16,0.000125632,5.16062e-17,-0.000141454,1,0.952705
32,0.00182,5.19083e-20,-3.23122e-16,0.000132873,5.35662e-17,-0.000136963,1,0.943246
32,0.00183,1.04836e-19,-3.22841e-16,0.000139992,5.54766e-17,-0.000132475,1,0.933787
32,0.00184,0,-3.22531e-16,0.000146988,5.73218e-17,-0.000127992,1,0.924328
32,0.00185,0,-3.22227e-16,0.000153861,5.91246e-17,-0.000123513,1,0.914869
32,0.00186,0,-3.2193e-16,0.000160611,6.0873e-17,-0.000119038,1,0.90541
32,0.00187,0,-3.21628e-16,0.000167238,6.25693e-17,-0.000114568,1,0.895951
32,0.00188,0,-3.21323e-16,0.000173742,6.42136e-17,-0.000110102,1,0.886493
32,0.00189,0,-3.21017e-16,0.000180123,6.58046e-17,-0.000105641,1,0.877034
32,0.0019,5.59863e-20,-3.20711e-16,0.000186381,6.73492e-17,-0.000101183,1,0.867575
32,0.00191,5.6496e-20,-3.20402e-16,0.000192516,6.88353e-17,-9.67301e-05,1,0.858116
32,0.00192,5.70058e-20,-3.20091e-16,0.000198528,7.02688e-17,-9.22814e-05,1,0.848657
32,0.00193,5.75155e-20,-3.19778e-16,0.000204418,7.16507e-17,-8.78369e-05,1,0.839198
32,0.00194,5.80253e-20,-3.19464e-16,0.000210184,7.2979e-17,-8.33967e-05,1,0.829739
32,0.00195,5.8535e-20,-3.19148e-16,0.000215827,7.42547e-17,-7.89609e-05,1,0.82028
32,0.00196,5.90448e-20,-3.18839e-16,0.000221347,7.54726e-17,-7.45293e-05,1,0.810821
32,0.00197,5.95545e-20,-3.18512e-16,0.000226744,7.6647e-17,-7.0102e-05,1,0.801362
32,0.00198,6.00643e-20,-3.18191e-16,0.000232018,7.77647e-17,-6.56791e-05,1,0.791903
32,0.00199,6.0574e-20,-3.17868e-16,0.00023717,7.88299e-17,-6.12604e-05,1,0.782444
